No,Lokasi Aset,Desa/Kelurahan,Kecamatan,Kabupaten/Kota,Provinsi,Tanah, Bangunan 1 , Bangunan 2 , Bangunan 3 , Bangunan 4 , Bangunan 5 , Bangunan 6 , Bangunan 7 , Bangunan 8 , Bangunan 9 , Bangunan 10 , Bangunan 11 , Bangunan 12 , Bangunan 13 , Bangunan 14 , Bangunan 15 , Bangunan 16 , Bangunan 17 , Bangunan 18 , Bangunan 19 , Bangunan 20 , Sarana Pelengkap (SPL) ,Jumlah,Jumlah (Pembulatan), Tanah (m²),Bangunan 1 (m²),Bangunan 2 (m²),Bangunan 3 (m²),Bangunan 4(m²),Bangunan 5 (m²),Bangunan 6 (m²),Bangunan 7 (m²),Bangunan 8 (m²),Bangunan 9 (m²),Bangunan 10 (m²),Bangunan 11 (m²),Bangunan 12 (m²),Bangunan 13 (m²),Bangunan 14 (m²),Bangunan 15 (m²),Bangunan 16 (m²),Bangunan 17 (m²),Bangunan 18 (m²),Bangunan 19 (m²),Bangunan 20 (m²)
194,Jalan Pasekan No. 92,Desa Batubulan,Kecamatan Sukawati,Kabupaten Gianyar,Bali," Rp1,150,000,000 "," Rp807,736,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp45,738,000 "," Rp2,003,474,000 "," Rp2,003,474,000 ",250,248,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
195,Jalan Labuhan Sait (Masuk),Desa Pecatu,Kecamatan Kuta Selatan,Kabupaten Badung,Bali," Rp1,123,200,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp1,123,200,000 "," Rp1,123,200,000 ",390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,"Jalan Raya Dalung, Perumahan Riveside F5",Desa Dalung,Kecamatan Kuta Utara,Kabupaten Badung,Bali," Rp892,080,000 "," Rp203,400,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp18,271,000 "," Rp1,113,751,000 "," Rp1,113,800,000 ",118,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Jalan Lingkungan Banjar Tegal Kepuh,Desa Kaba-Kaba,Kecamatan Kediri,Kabupaten Tabanan,Bali," Rp11,155,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp11,155,000,000 "," Rp11,155,000,000 ",4850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Perumahan Beji Asri Panji Anom Blok A No.9,Desa Panji Anom,Kecamatan Sukasada,Kabupaten Buleleng,Bali," Rp62,400,000 "," Rp98,640,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp161,040,000 "," Rp161,000,000 ",80,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Perumahan Grya Adi Panji 1 Blok F No.5,Desa Panji,Kecamatan Sukasada,Kabupaten Buleleng,Bali," Rp77,000,000 "," Rp90,480,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp167,480,000 "," Rp167,500,000 ",70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Jalan Raya Pemogan Gang Mutiara Indah I,Desa Pemogan,Kecamatan Denpasar Selatan,Kota Denpasar,Bali," Rp940,000,000 "," Rp856,152,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp1,796,152,000 "," Rp1,796,152,000 ",200,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Jalan Tukad Badung XIB,Kelurahan Renon,Kecamatan Denpasar Selatan,Kota Denpasar,Bali," Rp4,340,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp4,340,000,000 "," Rp4,340,000,000 ",700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Jalan Palapa No. 12,Kelurahan Benoa,Kecamatan Kuta Selatan,Kabupaten Badung,Bali," Rp573,500,000 "," Rp169,312,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp37,067,000 "," Rp779,879,000 "," Rp779,879,000 ",185,44,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
203,Jalan Gunung Payung ,Desa Kutuh,Kecamatan Kuta Selatan,Kabuapaten Badung,Bali," Rp840,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ,, Rp- , Rp- , Rp- ," Rp840,000,000 "," Rp840,000,000 ",300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Jalan Letjen Panjaitan No. 94,Kelurahan Kebonsari,Kecamatan Sumbersari,Kabupaten Jember,Jawa Timur," Rp8,152,400,000 "," Rp823,840,000 "," Rp819,180,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp82,679,000 "," Rp9,878,099,000 "," Rp9,878,100,000 ",2290,608,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Jalan Taman Jimbaran XIII No. 99,Kelurahan Jimbaran,Kecamatan Kuta Selatan,Kabupaten Badung,Bali," Rp1,000,000,000 "," Rp627,495,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp230,582,000 "," Rp1,858,077,000 "," Rp1,858,077,000 ",250,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Jalan Rembulan No. 51,Desa Dauh Puri Klod,Kecamatan Denpasar Barat,Kota Denpasar,Bali," Rp4,760,000,000 "," Rp886,816,000 "," Rp886,816,000 ", Rp- ,, Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp60,626,000 "," Rp6,594,258,000 "," Rp6,594,300,000 ",595,296,296,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Perumahan Graha Panji Sejahtera Blok K No. 2,Desa Panji Anom,Kecamatan Sukasada,Kabupaten Buleleng,Bali," Rp68,000,000 "," Rp99,520,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp167,520,000 "," Rp167,520,000 ",80,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Jalan Blongkeker,Kelurahan Jimbaran,Kecamatan Kuta Selatan,Kabupaten Badung,Bali," Rp1,920,000,000 "," Rp1,245,740,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp50,387,000 "," Rp3,216,127,000 "," Rp3,216,127,000 ",400,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Jalan Pidada VII No. 8A,Kelurahan Ubung,Kecamatan Denpasar Barat,Kota Denpasar,Bali," Rp2,440,000,000 "," Rp1,749,846,000 ", Rp- , Rp- ,, Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp65,064,000 "," Rp4,254,910,000 "," Rp4,254,910,000 ",400,427,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
210,"Jalan Kalimati, Dusun Kalimati RT. 004 RW 002",Desa Kedungrejo,Kecamatan Muncar,Kabupaten Banyuwangi,Jawa Timur," Rp4,301,505,000 "," Rp4,754,700,000 "," Rp58,320,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ,, Rp- , Rp- ,, Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp190,800,000 "," Rp9,305,325,000 "," Rp9,305,000,000 ",4085,3522,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,"Jalan Belong Bunter, Lingkungan Banjar Dinas kangin",Desa Pecatu,Kecamatan Kuta Selatan,Kabupaten Badung,Bali," Rp1,200,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp1,200,000,000 "," Rp1,200,000,000 ",500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Jalan Buana Raya Gang Buana Alit,Kelurahan Padangsambian,Kecamatan Denpasar Barat,Kota Denpasar,Bali," Rp2,552,000,000 "," Rp606,246,000 "," Rp1,117,230,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp54,331,000 "," Rp4,329,807,000 "," Rp4,329,807,000 ",580,237,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Perumahan Puri Mas Sejahtera Blok I No. 4,Desa Pemaron,Kecamatan Buleleng,Kabupaten Buleleng,Bali," Rp70,000,000 "," Rp89,964,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp159,964,000 "," Rp159,964,000 ",70,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Jalan Seroja No. 18,Kelurahan Banyuasri,Kecamatan Buleleng,Kabupaten Buleleng,Bali," Rp1,033,050,000 "," Rp871,968,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp35,095,000 "," Rp1,940,113,000 "," Rp1,940,000,000 ",213,186,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Jalan Buana  Raya No. 34,Kelurahan Padangsambian,Kecamatan Denpasar Barat,Kota Denpasar,Bali," Rp2,664,000,000 ", Rp- , Rp- , Rp- ,, Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp2,664,000,000 "," Rp2,664,000,000 ",250,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Jalan Jendral Sudirman No. 47C,Kelurahan Banyuasri,Kecamatan Buleleng,Kabupaten Buleleng,Bali," Rp1,269,000,000 "," Rp460,368,000 ", Rp- , Rp- , Rp- , Rp- , Rp- ,, Rp- , Rp- , Rp- , Rp- ,, Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp14,285,000 "," Rp1,743,653,000 "," Rp1,744,000,000 ",141,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Jalan Dr.Ir. Soekarno,Desa Dauh Peken,Kecamatan Tabanan,Kabupaten Tabnan,Bali," Rp1,665,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp1,665,000,000 "," Rp1,665,000,000 ",123,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Jalan Dr.Ir. Soekarno,Desa Dauh Peken,Kecamatan Tabanan,Kabupaten Tabnan,Bali," Rp1,656,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ,, Rp- , Rp- , Rp- , Rp- ," Rp1,656,000,000 "," Rp1,656,000,000 ",125,207,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
219,"Jalan Pulau Moyo, Perumahan Kori Nuansa Pedungan, Nuansa Kori I No. 33",Kelurahan Pedungan,Kecamataman Denpasar Selatan,Kota Denpasar,Bali," Rp1,150,200,000 "," Rp978,600,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp25,906,000 "," Rp2,154,706,000 "," Rp2,154,706,000 ",213,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Jalan Teratai No. 15 RT. 003 RW 004,Desa Rejosari (d/h Banjarsari),Kecamatan Glagah,Kabupaten Banyuwangi,Jawa Timur," Rp6,086,720,000 "," Rp118,692,000 "," Rp232,988,000 "," Rp1,045,310,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp137,706,000 "," Rp7,621,416,000 "," Rp7,621,000,000 ",3680,108,212,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,Grya Adi Panji Perluasan Blok G No.2,Desa Panji,Kecamatan Sukasada,Kabupaten Buleleng,Bali," Rp83,600,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ,, Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp83,600,000 "," Rp83,600,000 ",76,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
222,"Jalan Pratu Made Rambug, Banjar Sasih, Perumahan Bumi Santi No.19",Desa Batubulan,Kecamatan Sukawati,Kabupaten Gianyar,Bali," Rp680,000,000 "," Rp112,812,000 ", Rp- , Rp- , Rp- ,, Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp19,610,000 "," Rp812,422,000 "," Rp812,400,000 ",200,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,Perumahan Sunari II No.6,Desa Panji,Kecamatan Sukasada,Kabupaten Buleleng,Bali," Rp110,000,000 "," Rp371,371,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp9,789,000 "," Rp491,160,000 "," Rp491,000,000 ",100,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,Perumahan Graha Asri IV B No. 28,Desa Kerobokan,Kecamatan Sawan,Kabupaten Buleleng,Bali," Rp157,500,000 "," Rp217,308,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp16,283,000 "," Rp391,091,000 "," Rp391,000,000 ",105,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Perumahan Taman Tinga-Tinga Blok E No. 17,Desa Tinga-Tinga,Kecamatan Gerokgak,Kabupaten Buleleng,Bali," Rp61,760,000 "," Rp105,840,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp167,600,000 "," Rp167,600,000 ",80,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,"Jalan By Pass Ngurah Rai (Masuk), Banjar Pesanggaran",Kelurahan Pedungan,Kecamatan Denpasar Selatan,Kota Denpasar,Bali," Rp540,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp540,000,000 "," Rp540,000,000 ",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Jalan Diponegoro No. 132 A,Kelurahan Jatiwangi,Kecamatan Asakota,Kota Bima,Nusa Tenggara Barat," Rp5,752,620,000 "," Rp2,301,585,000 "," Rp507,764,000 "," Rp47,925,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp169,580,000 "," Rp8,779,474,000 "," Rp8,779,000,000 ",3180,1595,244,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Jalan Gunung Talang V No. 2,Keelurahan Padangsambian ,Kecamatan Denpasar Barat,Kota Denpasar,Bali," Rp660,000,000 "," Rp229,240,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp15,674,000 "," Rp904,914,000 "," Rp904,914,000 ",150,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Jalan Ki Hajar Dewantara (Masuk0,Desa Kalisat,Kecamatan Kalisat,Kabupaten Jember,Jawa Timur," Rp147,900,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp147,900,000 "," Rp147,900,000 ",2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Jalan Raya Rogojampi,Desa Gitik,Kecamatan Rogojampi,Kabupaten Banyuwangi,Jawa Timur," Rp6,849,821,000 "," Rp458,500,000 "," Rp773,200,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp218,631,000 "," Rp8,300,152,000 "," Rp8,300,000,000 ",2827,350,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,"Jalan Gunung Soputan, Perumahan Puri Taman Blok B/26",Desa Padangsambian Klod,Kecamatan Denpasar Barat,Kota Denpasar,Bali," Rp530,000,000 "," Rp114,969,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp20,842,000 "," Rp665,811,000 "," Rp665,811,000 ",100,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Jalan Cendrawasih No. 132 D,Kelurahan Brang Biji,Kecamatan Sumbawa,Kabupaten Sumbawa,Nusa Tenggara Barat," Rp10,960,000,000 "," Rp1,507,000,000 "," Rp420,101,000 "," Rp156,312,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp216,640,000 "," Rp13,260,053,000 "," Rp13,260,000,000 ",5480,220,181,159,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
233,Jalan Dasan Baru-Beleka (Masuk),Desa Dasan Baru,Kecamatan Kediri,Kabupaten Lombok Barat,Nusa Tenggara Barat," Rp3,373,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp3,373,000,000 "," Rp3,373,000,000 ",7495,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
234,Jalan PB Sudirman (Masuk),Desa Lojejer,Kecamatan Wuluhan,Kabupaten Jember,Jawa Timur," Rp439,100,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp439,100,000 "," Rp439,100,000 ",3659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,"Perumahan Casa De Nampak No. 10, Jalan Parigata",Kelurahan Jimbaran,Kecamatan Kuta Selatan,Kabupaten Badung,Bali," Rp997,500,000 "," Rp598,320,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp34,254,000 "," Rp1,630,074,000 "," Rp1,630,074,000 ",133,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,Jalan Mahendradatta No. 93,Desa Padangsambian Klod,Kecamatan Denpasar Barat,Kota Denpasar,Bali," Rp96,546,300,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp96,546,300,000 "," Rp96,546,300,000 ",4635,9419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,Perum Bali Amertha Suwug Blok D14,Desa Suwug,Kecamatan Sawan,Kabupaten Buleleng,Bali," Rp86,400,000 "," Rp81,540,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp167,940,000 "," Rp167,940,000 ",80,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Perum Grya Adi Lokapaksa 2 Utara Blok D-3,Desa Lokapaksa,Kecamatan Seririt,Kabupaten Buleleng,Bali," Rp78,000,000 "," Rp89,970,000 ", Rp- , Rp- ,, Rp- ,, Rp- ,, Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp167,970,000 "," Rp167,970,000 ",60,30,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
239,Jlan Gunung Subur No. 59A,Desa Pemecutan Klod,Kecamatan Denpasar Barat,Kota Denpasar,Bali," Rp2,320,500,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp2,320,500,000 "," Rp2,320,500,000 ",150,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Jalan Tukad Barito Timur No. 11,Kelurahan Panjer,Kecamatan Denpasar Selatan,Kota Denpasar,Bali," Rp8,246,000,000 "," Rp2,732,260,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp76,118,000 "," Rp11,054,378,000 "," Rp11,054,400,000 ",665,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Jalan Mahendradatta No. 93,Kelurahan Ubung,Kecamatan Denpasar Utara,Kota Denpasar,Bali," Rp15,904,000,000 "," Rp1,670,900,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp39,350,000 "," Rp17,614,250,000 "," Rp17,614,250,000 ",1120,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,"Jalan Raya Sading, Gang Batur Sari IV No. 2",Kelurahan Sading,Kecamatan Mengwi,Kabupaten Badung,Bali," Rp320,000,000 "," Rp185,580,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp19,016,000 "," Rp524,596,000 "," Rp524,596,000 ",100,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Jalan Uluwatu No. 29,Kelurahan Jimbaran,Kecamatan Kuta Selatan,Kabupaten Badung,Bali," Rp12,528,000,000 "," Rp1,330,220,000 "," Rp1,382,780,000 "," Rp142,358,000 "," Rp53,460,000 "," Rp47,056,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp99,541,000 "," Rp15,583,415,000 "," Rp15,583,415,000 ",1044,454,332,34,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,"Jalan Penataran Agung (Masuk), Lingkungan Dusun Mimba",Desa Padangbai,Kecamatan Manggis,Kabupaten Karangasem,Bali," Rp850,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp850,000,000 "," Rp850,000,000 ",500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Jalan Mahendradatta No. 91,Desa Padangsambian Klod,Kecamatan Denpasar Barat,Kota Denpasar,Bali," Rp19,078,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp19,078,000,000 "," Rp19,078,000,000 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
