No,Lokasi Aset,Desa/Kelurahan,Kecamatan,Kabupaten/Kota,Provinsi,Tanah, Bangunan 1 , Bangunan 2 , Bangunan 3 , Bangunan 4 , Bangunan 5 , Bangunan 6 , Bangunan 7 , Bangunan 8 , Bangunan 9 , Bangunan 10 , Bangunan 11 , Bangunan 12 , Bangunan 13 , Bangunan 14 , Bangunan 15 , Bangunan 16 , Bangunan 17 , Bangunan 18 , Bangunan 19 , Bangunan 20 , Sarana Pelengkap (SPL) ,Jumlah,Jumlah (Pembulatan), Tanah (m²),Bangunan 1 (m²),Bangunan 2 (m²),Bangunan 3 (m²),Bangunan 4(m²),Bangunan 5 (m²),Bangunan 6 (m²),Bangunan 7 (m²),Bangunan 8 (m²),Bangunan 9 (m²),Bangunan 10 (m²),Bangunan 11 (m²),Bangunan 12 (m²),Bangunan 13 (m²),Bangunan 14 (m²),Bangunan 15 (m²),Bangunan 16 (m²),Bangunan 17 (m²),Bangunan 18 (m²),Bangunan 19 (m²),Bangunan 20 (m²)
491,Jalan Cekomaria Gang Taman III No.3,Desa Peguyangan Kangin,Kecamatan Denpasar Utara,Kota Denpasar,Bali," Rp600,600,000 "," Rp57,090,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp13,814,000 "," Rp671,504,000 "," Rp671,500,000 ",182,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,Perumahan Terrace Pavilion No. 25. Lingkungan Taman Griya,Kelurahan Jimbaran,Kecamatan Kuta Selatan,Kabupaten Badung,Bali," Rp572,000,000 "," Rp372,590,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp24,347,000 "," Rp968,937,000 "," Rp969,000,000 ",104,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,Perumahan Grha Tegal Amertha 99 Blok GTA V No. 5,Kelurahan Banjar tegal,Kecamatan Buleleng,Kabupaten Buleleng,Bali," Rp84,000,000 "," Rp77,280,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp161,280,000 "," Rp161,300,000 ",60,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,"Jalan Tibung Sari, Banjar Kwanji",Desa Dalung,Kecamatan Kuta Utara,Kabupaten Badung,Bali," Rp34,839,000,000 "," Rp328,510,000 "," Rp1,122,140,000 "," Rp1,295,040,000 "," Rp140,400,000 "," Rp343,200,000 "," Rp358,800,000 "," Rp106,600,000 "," Rp1,423,708,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp180,610,000 "," Rp40,138,008,000 "," Rp40,138,000,000 ",7350,190,380,852,54,132,138,41,286,0,0,0,0,0,0,0,0,0,0,0,0
495,Perumahan Beji Asri Panji Anom Blok B No. 30,Desa Panji Anom,Kecamatan Sukasada,Kabupaten Buleleng,Bali," Rp75,200,000 "," Rp92,520,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp167,720,000 "," Rp167,720,000 ",94,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,Perumahan Puri Artha Kerobokan 4 No. 390,Desa Kerobokan,Kecamatan Sawan,Kabupaten Buleleng,Bali," Rp90,600,000 "," Rp76,380,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp166,980,000 "," Rp166,980,000 ",75,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,Perumahan Graha Baruna Celukan Bawang Blok B No. 6,Desa Celukan Bawang,Kecamatan Gerokgak,Kabupaten Buleleng,Bali," Rp59,500,000 "," Rp98,880,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp158,380,000 "," Rp158,380,000 ",70,30,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
498,Jalan Perumahan Taman Graha II Blok D No. 34,Kelurahan Benoa,Kecamatan Kuta Selatan,Kabupaten Badung,Bali," Rp382,500,000 "," Rp202,455,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp28,905,000 "," Rp613,860,000 "," Rp613,860,000 ",75,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,Jalan Lingkungan Perumahan Sekar Anyer,Kelurahan Sekarteja dan Desa Sekarmulia,Kecamatan Selong dan Kecamatan Sukamulai,Kabupaten Lombok Timur,Nusa Tenggara Barat," Rp5,406,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp5,406,000,000 "," Rp5,406,000,000 ",14610,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,Perumahan Mulya Jaya LC Blok C No.4,Kelurahan Loloan Timur,Kecamatan Jembrana,Kabupaten Jembrana,Bali," Rp61,560,000 "," Rp101,760,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp163,320,000 "," Rp163,300,000 ",81,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,Jalan Kubu Anyar Perumahan Kuta Royal Blok B1,Kelurahan Kuta,Kecamatan Kuta,Kabupaten Badung,Bali," Rp3,680,100,000 "," Rp791,200,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp18,020,000 "," Rp4,489,320,000 "," Rp4,489,320,000 ",261,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,Jalan Bhineka Jati Jaya VII No.10,Kelurahan Kuta,Kecamatan Kuta,Kabupaten Badung,Bali," Rp2,720,000,000 "," Rp653,450,000 "," Rp97,596,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp43,484,400 "," Rp3,514,530,400 "," Rp3,514,530,400 ",340,175,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,Jalan Pulau Belitung No. 24A,Kelurahan Pedungan,Kecamatan Denpasar Selatan,Kota Denpasar,Bali," Rp1,925,360,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp1,925,360,000 "," Rp1,925,360,000 ",100,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,"Jalan Uluwatu, Gang Tambak Sari",Kelurahan Jimbaran,Kecamatan Kuta Selatan,Kabupaten Badung,Bali," Rp2,750,000,000 "," Rp2,373,280,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp44,879,000 "," Rp5,168,159,000 "," Rp5,168,159,000 ",500,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,Perumahan Mulya Jaya LC Blok N No.5,Kelurahan Loloan Timur,Kecamatan Jembrana,Kabupaten Jembrana,Bali," Rp62,320,000 "," Rp101,760,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp164,080,000 "," Rp164,100,000 ",82,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,"Jalan Raya Singaraja - Denpasar, Lingkungan Banjar Giri Loka",Desa Pancasari,Kecamatan Sukasada,Kabupaten Buleleng,Bali," Rp1,092,000,000 "," Rp27,888,000 "," Rp142,641,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp48,480,000 "," Rp1,311,009,000 "," Rp1,311,009,000 ",420,16,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,Perum Bali Amertha Panji II,Desa Panji,Kecamatan Sukasada,Kabupaten Buleleng,Bali," Rp79,300,000 "," Rp40,500,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp119,800,000 "," Rp119,800,000 ",65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,Jalan Raya Singaraja - Glimanuk (Lingkungan Dinas Brongbong),Desa Celukan Bawang,Kecamatan Gerokgak,Kabupaten Buleleng,Bali," Rp5,650,000,000 "," Rp45,822,000 "," Rp82,144,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp40,367,000 "," Rp5,818,333,000 "," Rp5,818,300,000 ",5000,42,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,"Banjar Belong, Desa Belumbang, Kecamatan Kerawitan, Kabupaten Tabanan",Desa Belumbang,Kecamatan Kerambitan,Kabupaten Tabanan,Bali," Rp448,000,000 "," Rp113,344,000 "," Rp187,515,000 "," Rp44,192,500 "," Rp20,682,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp9,918,000 "," Rp823,651,500 "," Rp823,700,000 ",320,32,81,13.75,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,"Jalan Badak Agung X No. 17, Desa Sumerta Klod, Kecamatan Denpasar Timur",Desa Sumerta Klod,Kecamatan Denpasar Timur,Kota Denpasar,Bali," Rp200,000,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp200,000,000 "," Rp200,000,000 ",593,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
